name,email,registration_number,status,faculty_mail,faculty_name
devshalin,dev.219301509@muj.manipal.edu,219301509,registered,registered,registered
deagrawal,devagrawaltp@gmail.com,219301510,pending,pending,pending
qwer,devagrawaltp1@gmail.com,219301511,pending,pending,pending
qwere,devagrawaltp2@gmail.com,219301512,pending,pending,pending
qwerty,devagrawaltp3@gmail.com,219301513,pending,pending,pending
qwertyu,devagrawaltp4@gmail.com,219301514,pending,pending,pending
ertyui,devagrawaltp5@gmail.com,219301515,pending,pending,pending
edr,devagrawaltp6@gmail.com,219301516,pending,pending,pending
ghnbh,devagrawaltp7@gmail.com,219301517,pending,pending,pending
cedx,devagrawaltp8@gmail.com,219301518,pending,pending,pending
xed2,devagrawaltp9@gmail.com,219301519,pending,pending,pending
x2ed,devagrawaltp10@gmail.com,219301520,pending,pending,pending
x2ed,devagrawaltp11@gmail.com,219301521,pending,pending,pending
x2ed,devagrawaltp12@gmail.com,219301522,pending,pending,pending
2x3,devagrawaltp13@gmail.com,219301523,pending,pending,pending
wsxedcfr,devagrawaltp14@gmail.com,219301524,pending,pending,pending
fcetgrbhy,devagrawaltp15@gmail.com,219301525,pending,pending,pending
rgbhy,devagrawaltp16@gmail.com,219301526,pending,pending,pending
vtgrbhy,devagrawaltp17@gmail.com,219301527,pending,pending,pending
